project_id,nome,municipio,uf,responsabilidade,status_segundo_simec,situacao_segundo_tbrasil,logradouro,percentual_de_execucao,ano_convenio,valor_pactuado_com_o_fnde,ano_fim_vigencia_convenio,termo_convenio,data_de_entrega,tipo_data_final,tipo_do_projeto,possui_alerta,possui_resposta
1052288,Escola Técnica de Campina Grande - Campina Grande - PB,Campina Grande,PB,Estadual,Concluída,obra conclu�da,rua tranquilino coelho lemos,100,2016,10864491.53,2019,76432/2016,2018-11-15,Data oficial,Espaço Educativo Ensino Médio Profissionalizante,0,0
1052289,Escola Técnica de Guarabira - Guarabira - PB,Guarabira,PB,Estadual,Execução,em andamento,pb 57,88.91,2016,11109217.47,2019,76433/2016,2019-05-15,Data oficial,Espaço Educativo Ensino Médio Profissionalizante,0,0
1052291,Terreno para construção de uma escola padrão MEC 04 para região Suçuarana - Belo Campo - BA,Belo Campo,BA,Municipal,Execução,em andamento,rua marcelino pinheiro,32.13,2016,886843.07,2019,76664/2016,2019-04-29,Data oficial,Espaço Educativo - 04 Salas,0,0
1052292,LOTEAMENTO RUA DA CAPELA 12 SALAS - Ribeira do Amparo - BA,Ribeira do Amparo,BA,Municipal,Execução,em andamento,rua e,83.7,2016,3534000,2019,76660/2016,2018-12-26,Data oficial,Espaço Educativo - 12 Salas,0,0
1052293,Baixa das Antas - Ribeira do Pombal - BA,Ribeira do Pombal,BA,Municipal,Concluída,obra conclu�da,povoado baixa das antas,100,2016,1021955.6,2018,76652/2016,2018-01-25,Data oficial,Espaço Educativo - 06 Salas,0,0
1052295,Escola Técnica de Itaporanga - Itaporanga - PB,Itaporanga,PB,Estadual,Concluída,obra conclu�da,rua joão silvino fonseca (estrada para caravelas),98.45,2016,11088540.66,2019,76434/2016,2019-03-15,Data oficial,Espaço Educativo Ensino Médio Profissionalizante,0,0
1052296,Escola Técnica de Patos - Patos - PB,Patos,PB,Estadual,Execução,em andamento,rua manoel mota/ pb 110(saida para a cidade de teixeira,97.89,2016,10835318.36,2019,76435/2016,2019-04-14,Data oficial,Espaço Educativo Ensino Médio Profissionalizante,0,0
1052298,Escola Técnica De Serra Branca - Serra Branca - PB,Serra Branca,PB,Estadual,Concluída,obra conclu�da,"pb 200, acesso pela br 412, a 1 km de serra branca",99.96,2016,10837437.05,2019,76436/2016,2019-02-01,Data oficial,Espaço Educativo Ensino Médio Profissionalizante,0,0
1052299,Escola Técnica de Sousa - Sousa - PB,Sousa,PB,Estadual,Execução,em andamento,rua leopoldo josé de melo,98.34,2016,10835318.36,2019,76438/2016,2019-04-17,Data oficial,Espaço Educativo Ensino Médio Profissionalizante,0,0
1052300,Buriti - Lagoa do Mato - MA,Lagoa do Mato,MA,Municipal,Contratação,n�o iniciada e j� devia ter sido entregue,buriti dos novatos,0,2016,1021869.45,2019,76947/2016,2017-04-03,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 06 Salas,0,0
1052301,Terreno Municipal - Vitorino Freire - MA,Vitorino Freire,MA,Municipal,Obra Cancelada,obra cancelada,povoado sentada,0,2016,133227.45,2018,76948/2016,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 01 Sala,0,0
